changes = Time vs nsites vs nqubits0 vs h vs nlayers

g_converged min_loss iter nsites nqubits0 h nlayers time
true 0.25000014147923544 185 9 4 0.04 1 1.5
true 1.6674167513525129e-6 866 9 4 0.04 2 11.06
true 1.6611386920911686e-5 3247 9 4 0.04 3 55.82
true 9.650202247538098e-6 2287 9 4 0.04 4 56.27
true 0.25000009483830554 216 9 4 0.06 1 2.18
true 3.5068555083450637e-7 478 9 4 0.06 2 7.53
true 1.5954942216428458e-6 2038 9 4 0.06 3 37.29
true 0.12500467704199972 2519 9 4 0.06 4 69.23
true 3.665821965148641e-7 217 9 4 0.08 1 1.78
true 3.115842040907202e-7 1120 9 4 0.08 2 13.71
true 1.1454316377570994e-5 4007 9 4 0.08 3 69.03
true 2.2923462679874662e-5 2118 9 4 0.08 4 57.46
true 0.2500004563940882 248 9 4 0.1 1 1.85
true 1.1806799164321147e-6 1316 9 4 0.1 2 16.87
true 3.029438569805698e-5 2510 9 4 0.1 3 45.5
true 5.403837517847787e-6 1960 9 4 0.1 4 49.24
true 0.25000067044354113 270 9 4 0.12 1 2.08
true 7.4779564563642875e-6 823 9 4 0.12 2 10.77
true 1.3200505462121481e-5 2344 9 4 0.12 3 41.51
true 4.478476218566785e-6 1951 9 4 0.12 4 55.82
true 2.0451929917675304e-6 467 9 4 0.14 1 3.49
true 1.3381524470654216e-5 676 9 4 0.14 2 9.43
true 1.7083259655673033e-5 2414 9 4 0.14 3 42.44
true 2.732864953869374e-5 4732 9 4 0.14 4 109.5
true 3.3790513520592924e-6 252 9 4 0.16 1 2.08
true 6.042702227759822e-7 1175 9 4 0.16 2 15.46
true 2.6593740003633126e-5 2687 9 4 0.16 3 48.1
true 1.9244001922144593e-5 2193 9 4 0.16 4 56.19
true 5.603458879940848e-6 203 9 4 0.18 1 2.1
true 2.326436596201964e-5 580 9 4 0.18 2 8.75
true 2.0034347125413854e-5 1841 9 4 0.18 3 35.49
true 3.2835270472750255e-5 2003 9 4 0.18 4 52.6
true 8.83132882951998e-6 215 9 4 0.2 1 1.88
true 1.4050842540580533e-5 2131 9 4 0.2 2 27.68
true 1.690638952181467e-5 1738 9 4 0.2 3 33.43
true 5.3131196661490576e-5 3324 9 4 0.2 4 84.81
true 1.369476107390688e-5 251 9 4 0.22 1 2.07
true 2.1028968706690576e-5 818 9 4 0.22 2 11.69
true 6.863377706201046e-5 1310 9 4 0.22 3 25.68
true 6.317586491405569e-5 1514 9 4 0.22 4 42.52
true 2.0644195065935844e-5 249 9 4 0.24 1 2.24
true 3.242625088523132e-5 490 9 4 0.24 2 7.67
true 8.354540581234637e-5 1328 9 4 0.24 3 28.18
true 8.403550655769476e-5 2567 9 4 0.24 4 66.65
true 0.25001121756405914 170 9 4 0.26 1 1.71
true 4.329727945609485e-5 1194 9 4 0.26 2 16.77
true 3.7515605634877436e-5 2125 9 4 0.26 3 40.42
true 0.00014926736273551677 7415 9 4 0.26 4 183.3
true 4.340571171153329e-5 235 9 4 0.28 1 2.16
true 9.976813231823978e-6 4650 9 4 0.28 2 60.94
true 0.00011054924785243447 1714 9 4 0.28 3 38.58
true 0.00018237618011927859 1299 9 4 0.28 4 43.7
true 6.093002114274104e-5 304 9 4 0.3 1 2.73
true 7.996930834379412e-5 1312 9 4 0.3 2 17.51
true 0.00012078330149430105 1716 9 4 0.3 3 33.95
true 0.00010008687151964735 2696 9 4 0.3 4 74.58
true 0.2500420788404979 239 9 4 0.32 1 2.11
true 0.00011527484018718226 632 9 4 0.32 2 9.64
true 0.000211570986891077 2177 9 4 0.32 3 42.39
true 0.000313117932494264 4753 9 4 0.32 4 119.18
true 0.00011559464533782149 239 9 4 0.34 1 2.13
true 0.0001455194205583904 803 9 4 0.34 2 12.12
true 0.000323212009201157 4936 9 4 0.34 3 92.62
true 0.0003149421468211233 4068 9 4 0.34 4 105.65
true 0.00015788717322266776 234 9 4 0.36 1 2.24
true 0.00018738353163358368 1445 9 4 0.36 2 20.69
true 0.00011613985497828383 691 9 4 0.36 3 17.12
true 0.0005037771490383064 6192 9 4 0.36 4 165.87
true 0.00023016185473261064 220 9 4 0.38 1 2.04
true 0.00021146452861169063 600 9 4 0.38 2 9.34
true 0.00023262428293588377 1879 9 4 0.38 3 40.65
true 0.00028584789700904223 4803 9 4 0.38 4 122.45
true 0.2501631262305296 298 9 4 0.4 1 2.58
true 0.00019822834865267092 826 9 4 0.4 2 12.35
true 0.0006053158214246179 1404 9 4 0.4 3 30.91
true 0.0009069888635573758 2006 9 4 0.4 4 57.59
true 0.0008955003556440078 224 9 4 0.42 1 1.94
true 0.00047429573696972094 1511 9 4 0.42 2 20.76
true 0.0008487673835073789 3490 9 4 0.42 3 70.31
true 0.0013530699427092563 6000 9 4 0.42 4 167.42
true 0.006274789961381588 295 9 4 0.44 1 2.75
true 0.0027668819428456476 685 9 4 0.44 2 10.97
true 0.0022726846483961533 5349 9 4 0.44 3 105.59
true 0.0026576016760374715 13323 9 4 0.44 4 341.22
true 0.027166398446470702 228 9 4 0.46 1 2.18
true 0.0032973270011461414 2703 9 4 0.46 2 36.09
true 0.007576176957066194 5906 9 4 0.46 3 122.97
true 0.007942217560362369 11385 9 4 0.46 4 310.38
true 0.11394085937932377 367 9 4 0.48 1 3.3
